iter	F1	Logloss
0	0.8070385293	0.6558335458
1	0.8248138666	0.6248609749
2	0.8149249012	0.5982050996
3	0.8277633389	0.5716440907
4	0.8283485844	0.5496196543
5	0.829536196	0.5310406787
6	0.8296690022	0.5146193841
7	0.830430964	0.5012339409
8	0.8317850334	0.4899172406
9	0.8333587158	0.4799872609
10	0.8347240343	0.4698291952
11	0.8345503225	0.460782184
12	0.8354245785	0.4524718561
13	0.8359151935	0.4460188976
14	0.8366850963	0.4399415328
15	0.8364674788	0.4346971153
16	0.8363150381	0.4300950929
17	0.836651446	0.4255176371
18	0.8373835191	0.4211551336
19	0.8378435968	0.4167364773
20	0.837654227	0.4135850503
21	0.8378815136	0.4108763628
22	0.8380673142	0.4077826116
23	0.8381980663	0.405005428
24	0.8385778754	0.4026982298
25	0.8389773629	0.3999765291
26	0.8400720149	0.3972572024
27	0.84	0.3952016275
28	0.840439829	0.3935945802
29	0.8405504587	0.3915529276
30	0.8409904809	0.3896390565
31	0.8412188026	0.3880294919
32	0.8414764895	0.3858681121
33	0.8415411001	0.384399088
34	0.8418665931	0.3831982115
35	0.8423437213	0.3818118865
36	0.8425404214	0.380770437
37	0.8429078883	0.3795120261
38	0.8429468525	0.3783713467
39	0.843092196	0.3772748797
40	0.8432730616	0.376268214
41	0.843473197	0.3753423012
42	0.8440400698	0.3742580597
43	0.8444267467	0.3733024476
44	0.8443300864	0.3724787441
45	0.844409024	0.3718021462
46	0.8448735632	0.370789633
47	0.8448476675	0.3701169457
48	0.8450885471	0.3693093474
49	0.845208544	0.36866877
50	0.8454303134	0.3678462031
51	0.8454771174	0.3670191011
52	0.8456680361	0.3661759097
53	0.8456610367	0.3654284681
54	0.8456915057	0.3648582788
55	0.8464038261	0.3642988532
56	0.8467479924	0.3640875259
57	0.8465264578	0.3636365319
58	0.8464226596	0.3630903178
59	0.8466347922	0.3623591214
60	0.8470638715	0.361704531
61	0.8469275113	0.3611190934
62	0.8470479988	0.3606178573
63	0.8471923903	0.3599945205
64	0.8476012155	0.3594565223
65	0.8477292965	0.358994974
66	0.8481144823	0.3583492444
67	0.8484681034	0.3577232712
68	0.8487361405	0.3572183509
69	0.848816141	0.3568751019
70	0.8489054008	0.3565847275
71	0.8488793368	0.3565465261
72	0.8489500184	0.3560837298
73	0.8489778378	0.35553593
74	0.84908209	0.3549098879
75	0.8493764973	0.3542795744
76	0.849464017	0.3538711385
77	0.8499646795	0.3533386559
78	0.8502287873	0.3529832519
79	0.8502887333	0.3525419753
80	0.8504454685	0.3523102665
81	0.8502872592	0.3519146804
82	0.850419342	0.3513785435
83	0.850514672	0.3509849109
84	0.8508036016	0.3503810934
85	0.8507591124	0.3501465758
86	0.8509774991	0.3499616137
87	0.850931677	0.3495542832
88	0.8512051156	0.349272434
89	0.85110831	0.3487094012
90	0.8514236517	0.3484034252
91	0.851316437	0.3479350434
92	0.8515521644	0.3476422959
93	0.8518689432	0.3472770784
94	0.8519395822	0.3468855969
95	0.8519646758	0.3466375266
96	0.8521310971	0.346319289
97	0.8521321765	0.3462321976
98	0.8525094624	0.3460704539
99	0.8522814683	0.3457057428
100	0.8524479183	0.3455686135
101	0.852280421	0.3453115908
102	0.8528090579	0.3448701865
103	0.8528868645	0.3446645992
104	0.8530362254	0.3442711832
105	0.8530715253	0.3440460977
106	0.8532807833	0.3437940694
107	0.8532635468	0.3435927311
108	0.8534047531	0.343448598
109	0.8538433112	0.3430190571
110	0.8539581858	0.3423912933
111	0.8536585366	0.3421525903
112	0.8538606055	0.3419643668
113	0.8540620475	0.3416436766
114	0.8541942639	0.3414898596
115	0.8540710391	0.3412200416
116	0.8542385412	0.3410701194
117	0.8546787408	0.3407339714
118	0.8548988203	0.3404719215
119	0.855013091	0.340437584
120	0.8547751078	0.3401965487
121	0.8550036973	0.3395696304
122	0.8549688867	0.3393511977
123	0.8554435919	0.3389059192
124	0.8559008509	0.33849978
125	0.8562883483	0.3382788467
126	0.856270622	0.3379576201
127	0.856428924	0.337666007
128	0.8563406356	0.337424712
129	0.8561998766	0.3372175432
130	0.8566227515	0.3368958641
131	0.8572574673	0.3364615885
132	0.8573368307	0.3361649893
133	0.8574250093	0.3361538615
134	0.8573632885	0.3359866862
135	0.8574426715	0.3357292465
136	0.8574956017	0.3354908506
137	0.8575132732	0.3353938852
138	0.8577866955	0.3350854111
139	0.8578485859	0.3348668865
140	0.8580428002	0.3346250108
141	0.8583166023	0.3344488051
142	0.8583341054	0.3342693109
143	0.8582990949	0.3340935975
144	0.8584576423	0.3339517086
145	0.8586435965	0.3337338289
146	0.8587584587	0.3337243322
147	0.8587144623	0.3335300856
148	0.8587849947	0.3334187299
149	0.8587057296	0.3330965358
150	0.858776267	0.3328841987
151	0.8587588083	0.3326762218
152	0.8590234858	0.3323582354
153	0.8595618453	0.3322174576
154	0.8597824744	0.3319937131
155	0.860180492	0.3317383018
156	0.860180492	0.3315168554
157	0.860198436	0.3312660136
158	0.8598980065	0.3311279793
159	0.8599592114	0.330962116
160	0.860462242	0.3307230037
161	0.8607892216	0.330482679
162	0.8608870345	0.3302902194
163	0.861010663	0.3300163128
164	0.861426231	0.3297008038
165	0.8613558379	0.3294674352
166	0.861576507	0.3292369164
167	0.8616573902	0.3289902085
168	0.8620209706	0.3287632865
169	0.8620134893	0.3284823067
170	0.8618630696	0.3283923585
171	0.8622609987	0.3281371418
172	0.8622961978	0.3279816953
173	0.8622450559	0.3277105254
174	0.8624040604	0.3275370759
175	0.8623677208	0.3272619217
176	0.8627414562	0.326921635
177	0.8626613427	0.326879843
178	0.8629623897	0.3265978106
179	0.8630946854	0.3263682138
180	0.8636279185	0.3260868333
181	0.863795399	0.3259140119
182	0.8636898495	0.3257331169
183	0.8639643266	0.3254020629
184	0.8639137573	0.3252607705
185	0.8644429992	0.3249711064
