iter	Passed	Remaining
403	12704	12452
404	12740	12426
405	12772	12395
406	12805	12364
407	12841	12338
408	12873	12307
409	12906	12276
410	12936	12243
411	12974	12219
412	13008	12189
413	13039	12157
414	13076	12131
415	13110	12102
416	13148	12076
417	13189	12053
418	13228	12029
419	13256	11994
420	13279	11954
421	13311	11923
422	13344	11893
423	13375	11861
424	13405	11828
425	13438	11798
426	13465	11762
427	13492	11726
428	13522	11694
429	13550	11659
430	13577	11624
431	13603	11588
432	13625	11549
433	13653	11514
434	13682	11480
435	13726	11459
436	13754	11425
437	13781	11390
438	13812	11358
439	13835	11319
440	13860	11283
441	13880	11242
442	13907	11207
443	13937	11174
444	13962	11138
445	13994	11107
446	14024	11075
447	14049	11038
448	14072	11001
449	14101	10967
450	14132	10936
451	14158	10901
452	14187	10867
453	14210	10830
454	14238	10796
455	14266	10762
456	14292	10727
457	14319	10692
458	14349	10660
459	14375	10625
460	14404	10592
461	14442	10565
462	14480	10539
463	14510	10507
464	14552	10484
465	14589	10456
466	14615	10421
467	14655	10396
468	14687	10365
469	14719	10334
470	14746	10300
471	14771	10265
472	14802	10233
473	14831	10200
474	14862	10169
475	14887	10133
476	14912	10098
477	14933	10060
478	14962	10027
479	14988	9992
480	15019	9960
481	15040	9923
482	15064	9886
483	15087	9850
484	15115	9817
485	15141	9782
486	15167	9748
487	15197	9716
488	15224	9682
489	15252	9649
490	15295	9625
491	15318	9589
492	15343	9554
493	15374	9523
494	15396	9486
495	15420	9451
496	15443	9415
497	15466	9379
498	15492	9345
499	15518	9311
500	15546	9278
501	15568	9242
502	15595	9208
503	15622	9174
504	15646	9139
505	15675	9108
506	15697	9071
507	15718	9034
508	15742	9000
509	15771	8968
510	15796	8933
511	15825	8902
512	15856	8870
513	15883	8837
514	15910	8804
515	15935	8770
516	15962	8737
517	15985	8702
518	16017	8672
519	16047	8640
520	16072	8606
521	16101	8575
522	16128	8542
523	16156	8509
524	16181	8476
525	16207	8442
526	16233	8409
527	16255	8373
528	16280	8340
529	16304	8306
530	16336	8275
531	16378	8250
532	16404	8217
533	16430	8184
534	16452	8149
535	16486	8120
536	16516	8088
537	16542	8055
538	16567	8022
539	16603	7994
540	16641	7966
541	16678	7939
542	16722	7914
543	16754	7884
544	16785	7853
545	16813	7821
546	16842	7790
547	16870	7757
548	16895	7724
549	16919	7690
550	16944	7657
551	16969	7623
552	16992	7589
553	17012	7554
554	17034	7519
555	17056	7485
556	17088	7455
557	17117	7423
558	17138	7388
559	17165	7356
560	17194	7325
561	17221	7293
562	17247	7260
563	17272	7227
564	17298	7194
565	17323	7162
566	17352	7130
567	17386	7101
568	17407	7067
569	17435	7035
570	17463	7003
571	17486	6969
572	17509	6936
573	17534	6904
574	17560	6871
575	17592	6841
576	17616	6808
577	17645	6777
578	17670	6744
579	17697	6712
580	17723	6680
581	17748	6648
582	17774	6615
583	17797	6582
584	17825	6551
585	17853	6519
586	17880	6488
587	17907	6456
588	17932	6424
589	17963	6393
590	17991	6362
591	18013	6329
592	18040	6297
593	18067	6265
594	18088	6232
595	18116	6201
596	18147	6170
597	18172	6138
598	18197	6106
599	18222	6074
600	18250	6043
601	18274	6010
602	18296	5977
603	18323	5946
604	18348	5913
605	18373	5881
606	18398	5849
607	18431	5820
608	18457	5788
609	18484	5757
610	18513	5726
611	18542	5696
612	18569	5664
613	18600	5634
614	18628	5603
615	18661	5574
616	18692	5544
617	18720	5513
618	18747	5481
619	18779	5452
620	18817	5423
621	18859	5396
622	18907	5371
623	18939	5341
624	18966	5310
625	18988	5277
626	19014	5246
627	19041	5215
628	19067	5183
629	19093	5152
630	19124	5122
631	19150	5090
632	19176	5059
633	19202	5027
634	19225	4995
635	19250	4963
636	19282	4934
637	19306	4902
638	19333	4871
639	19356	4839
640	19375	4806
641	19394	4773
642	19421	4742
643	19453	4712
644	19482	4681
645	19508	4650
646	19532	4619
647	19559	4588
648	19583	4556
649	19605	4524
650	19627	4492
651	19652	4461
652	19682	4430
653	19710	4400
654	19747	4371
